Time,Temperature (°C),Dew Point (°C),Wind Speed (knots),Wind Direction (°),Surface Pressure (hPa),Weather Event,METAR Report,Total Precipitation (mm)
2022-01-25 00:20:00,-2.0,-4.0,21.0,10.0,1028.0,,LTFM 250020Z 01021KT 9999 BKN025 M02/M04 Q1028 NOSIG,0.0
2022-01-25 00:50:00,-2.0,-4.0,21.0,10.0,1028.0,,LTFM 250050Z 01021KT 9999 BKN025 M02/M04 Q1028 NOSIG,0.0
2022-01-25 01:20:00,-2.0,-3.0,20.0,10.0,1028.0,,LTFM 250120Z 01020KT 9999 BKN025 M02/M03 Q1028 NOSIG RMK RWY17L 36015KT RWY34L 36023KT RWY16R 36018KT RWY36 01022KT RWY18 01019KT,0.0
2022-01-25 01:50:00,-1.0,-4.0,22.0,10.0,1028.0,,LTFM 250150Z 01022KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 02:20:00,-1.0,-4.0,21.0,10.0,1028.0,,LTFM 250220Z 01021KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 02:50:00,-1.0,-4.0,24.0,10.0,1028.0,,LTFM 250250Z 01024KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 03:20:00,-1.0,-4.0,21.0,10.0,1028.0,,LTFM 250320Z 01021KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 03:50:00,-1.0,-3.0,20.0,10.0,1028.0,,LTFM 250350Z 01020KT 9999 BKN025 M01/M03 Q1028 NOSIG,0.0
2022-01-25 04:20:00,-1.0,-4.0,19.0,10.0,1028.0,,LTFM 250420Z 01019KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 04:50:00,-1.0,-4.0,18.0,10.0,1028.0,,LTFM 250450Z 01018KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 05:20:00,-1.0,-4.0,18.0,10.0,1028.0,,LTFM 250520Z 01018KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 05:50:00,-1.0,-4.0,18.0,10.0,1027.0,,LTFM 250550Z 01018KT 9999 BKN025 M01/M04 Q1027 NOSIG,0.0
2022-01-25 06:20:00,-1.0,-4.0,16.0,360.0,1028.0,,LTFM 250620Z 36016KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 06:50:00,-1.0,-4.0,17.0,10.0,1028.0,,LTFM 250650Z 01017KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
2022-01-25 07:20:00,-1.0,-4.0,17.0,10.0,1028.0,,LTFM 250720Z 01017KT 9999 BKN025 M01/M04 Q1028 NOSIG,0.0
